,Maywood,Cudahy,Huntington Park,West Hollywood,San Francisco,Bell Gardens,Lawndale,Hawaiian Gardens,Lynwood,Bell,Hawthorne,Hermosa Beach,Daly City,South Gate,Bellflower,Inglewood,Stanton,Santa Ana,El Monte,La Puente,Paramount,Baldwin Park,East Palo Alto,San Pablo,Norwalk,Alhambra,Berkeley,Redondo Beach,Lomita,Santa Monica,Albany,Rosemead,Artesia,Gardena,San Fernando,Compton,San Gabriel,Garden Grove,Long Beach,Downey,Westminster,Manhattan Beach,Temple City,La Palma,Lakewood,La Habra,Foster City,Emeryville,Los Angeles,National City,San Mateo,Monterey Park,Placentia,Greenfield,Buena Park,Watsonville,Culver City,Pico Rivera,South Pasadena,San Bruno,Montebello,Oxnard,Cypress,Torrance,Huntington Beach,South El Monte,Costa Mesa,Oakland,South San Francisco,Alameda,El Cajon,Suisun City,Tustin,Covina,Campbell,Anaheim,Montclair,Davis,Millbrae,West Covina,Parlier,Lemon Grove,Burlingame,Pomona,Salinas,Aliso Viejo,Santa Paula,Sunnyvale,San Leandro,El Cerrito,Santa Clara,Imperial Beach,Glendale,La Mesa,Piedmont,Capitola,La Mirada,Mountain View,Fountain Valley,Fullerton,Beverly Hills,Pasadena,Burbank,Rohnert Park,Soledad,Citrus Heights,Whittier,Ceres,Grover Beach,Cerritos,Belmont,Riverbank,Modesto,Orange,Guadalupe,San Jose,Mission Viejo,Pacific Grove,Laguna Woods,Cupertino,Arcadia,San Carlos,Dana Point,Holtville,Carpinteria,Vista,Signal Hill,Chula Vista,Milpitas,Ventura,Newman,Carson,Port Hueneme,Azusa,Orange Cove,Hollister,McFarland,Sacramento,Reedley,Stockton,Upland,Santa Cruz,Pleasant Hill,Farmersville,San Anselmo,Fontana,Atwater,Calexico,Lodi,Santa Barbara,Laguna Hills,Live Oak,Selma,Lindsay,Los Altos,Fillmore,Yuba City,Rialto,Fresno,Sanger,Santa Maria,Lake Forest,Napa,Huron,Laguna Niguel,Gonzales,Exeter,Kerman,Rancho Cucamonga,Belvedere,Clovis,Eastvale,Santa Rosa,Turlock,Oceanside,Kingsburg,Petaluma,American Canyon,San Diego,Arvin,Concord,San Ramon,Sebastopol,Galt,Sausalito,Larkspur,Redwood City,Corona,Escondido,Madera,
Maywood,0,3.343,2.84,16.049,389.565,4.538,18.952,15.481,7.778,1.626,18.221,22.082,396.1281,4.095,12.204,19.058,19.71,26.632,14.064,18.001,9.609,18.038,363.4,390.264,9.884,9.954,381.79,22.542,22.179,22.133,384.827,11.468,14.239,17.047,29.535,11.132,10.271,23.263,17.938,6.815,25.716,23.282,14.116,15.835,14.783,17.152,382.653,379.8351,8.303,120.74,384.65,8.399,24.716,110.858,15.709,333.3161,16.417,8.372,9.851,393.278,7.532,68.676,16.53,20.498,31.052,11,35.238,378.302,393.987,375.27,121.107,394.048,29.444,22.815,348.408,20.676,33.56,403.498,390.565,18.939,212.361,120.455,388.678,31.115,311.028,44.508,72.33,357.318,369.121,385.946,352.395,128.011,15.733,118.074,378.906,348.369,14.455,359.168,29.571,20.848,18.903,12.858,17.87,428.955,284.726,407.316,9.416,314.825,182.298,14.874,373.937,325.989,319.362,25.607,172.654,347.623,43.411,329.941,40.641,353.546,17.358,371.812,52.836,219.15,91.43,87.483,17.026,121.768,352.938,75.274,294.205,16.67,70.838,23.679,216.729,311.929,142.485,390.916,212.913,344.528,36.731,353.5891,373.986,193.333,400.655,51.06,288.529,220.454,360.4011,102.577,39.996,350.345,210.087,177.754,361.332,63.099,431.153,53.598,224.9,218.61,165.689,40.948,408.347,199.697,48.38,293.836,197.05,240.921,42.373,404.815,229.601,45.256,435.154,305.7111,78.029,205.021,419.428,396.45,114.812,110.774,377.679,359.683,435.829,367.936,404.59,399.32,368.948,42.089,97.806,246.904,
Cudahy,3.236,0,3.543,18.904,392.42,2.755,17.331,15.761,3.877,2.084,16.6,20.46,398.983,2.579,10.583,17.437,19.194,26.116,16.919,20.856,7.988,20.893,366.255,393.119,9.368,12.809,384.645,20.92,20.557,24.988,387.682,14.323,14.519,15.425,32.39,9.51,13.126,29.058,16.316,5.031,25.996,21.661,16.971,17.379,13.161,15.126,385.508,382.69,11.158,120.224,387.505,11.254,24.2,113.713,15.193,336.1711,19.272,8.705,12.706,396.133,10.387,71.531,18.652,18.876,31.332,13.855,34.722,381.157,396.842,378.125,120.591,396.903,28.928,25.67,351.263,20.16,36.415,406.353,393.42,21.794,215.216,119.939,391.533,33.97,313.883,43.992,75.185,360.173,371.976,388.801,355.25,127.495,18.588,117.558,381.761,351.224,13.939,362.023,29.851,20.332,21.758,15.713,20.725,431.81,287.581,410.171,9.31,317.68,185.153,15.154,376.792,328.844,322.217,25.091,175.509,350.478,42.895,332.796,40.125,356.401,20.213,374.667,52.32,222.005,94.285,86.967,15.404,121.252,355.793,78.129,297.06,15.048,73.693,26.534,219.584,314.784,145.34,393.771,215.768,347.383,39.586,356.444,376.841,196.188,403.51,53.915,291.384,223.309,363.256,105.432,39.48,353.2,212.942,180.609,364.187,65.954,434.008,56.453,227.755,221.465,168.544,40.432,411.202,202.552,47.864,296.691,199.905,243.776,45.228,407.67,232.456,48.111,438.009,308.5661,77.513,207.876,422.283,399.305,114.296,113.629,380.534,362.538,438.684,370.791,407.445,402.175,371.803,41.573,97.29,249.759,
Huntington Park,2.84,3.543,0,14.777,388.168,4.77,13.829,16.844,4.574,1.839,13.098,18.75,394.731,2.525,11.666,8.576,21.689,28.611,16.79,20.789,10.004,20.825,362.003,388.867,11.863,12.68,380.393,18.807,18.654,19.829,383.43,14.194,15.602,11.716,28.138,7.029,12.997,30.141,18.332,7.047,27.079,18.159,16.842,18.462,15.177,17.141,381.256,378.438,6.119,122.719,383.253,11.125,26.695,109.461,17.688,331.919,14.114,10.194,12.894,391.881,10.319,67.405,19.735,16.712,32.415,13.787,37.217,376.905,392.59,373.873,123.086,392.651,31.423,25.123,347.011,22.655,35.868,402.101,389.168,21.247,210.964,122.434,387.281,33.423,309.631,46.487,70.933,355.921,367.724,384.549,350.998,129.99,14.336,120.053,377.509,346.972,16.434,357.771,30.934,22.827,16.599,15.296,16.473,427.558,283.329,405.919,11.238,313.428,181.027,16.237,372.54,324.592,317.965,27.586,171.383,346.226,45.39,328.544,42.62,352.149,20.084,370.415,54.815,221.938,90.159,89.462,17.42,123.747,351.541,74.003,292.808,14.811,69.567,26.466,215.332,310.532,141.088,389.519,211.516,343.131,39.039,352.192,372.589,191.936,399.258,55.988,287.132,223.242,359.004,101.306,41.975,348.948,208.69,176.357,359.935,61.702,429.756,55.906,223.503,217.213,164.418,42.927,406.95,198.3,50.359,292.4391,195.653,239.524,47.752,403.418,228.204,48.044,433.757,304.3141,80.008,203.624,418.031,395.053,116.791,109.377,376.282,358.286,434.432,366.539,403.1931,397.923,367.551,44.068,99.785,245.507,
West Hollywood,16.038,18.516,14.48,0,378.084,18.279,15.246,28.842,22.141,16.82,14.001,17.391,384.647,20.526,26.75,10.094,33.071,39.993,21.514,28.264,23.972,26.054,351.919,378.783,23.244,17.404,370.309,18.279,21.833,11.369,373.346,18.918,27.6,19.079,18.054,22.57,18.201,36.624,29.848,20.653,39.077,16.8,21.566,29.195,28.756,35.551,371.172,368.354,8.648,134.101,373.169,15.85,38.077,99.377,29.07,321.8351,5.449,23.313,15.277,381.797,17.794,57.49,29.891,19.914,44.413,21.262,48.599,366.821,382.506,363.789,134.468,382.567,42.805,30.265,336.927,34.037,41.01,392.017,379.084,26.389,200.88,133.816,377.197,38.565,299.547,57.869,60.849,345.837,357.64,374.465,340.914,141.372,12.485,131.435,367.425,336.888,27.816,347.687,42.932,34.209,2.476,17.656,9.284,417.474,273.245,395.8351,22.758,303.344,171.112,28.235,362.456,314.508,307.881,38.968,161.468,336.142,56.772,318.46,54.002,342.065,24.454,360.331,66.197,228.982,80.244,100.844,28.835,135.129,341.457,64.088,282.724,22.075,59.652,31.73,205.248,300.448,131.004,379.435,201.432,333.047,44.181,342.108,362.505,181.852,389.174,58.51,277.048,230.286,348.92,91.391,53.357,338.864,198.606,166.273,349.851,51.618,419.672,61.048,213.419,207.129,154.503,54.309,396.866,188.216,61.741,282.355,185.569,229.44,49.823,393.334,218.12,54.239,423.673,294.23,91.39,193.54,407.947,384.969,128.173,99.293,366.198,348.202,424.348,356.455,393.109,387.839,357.467,55.129,111.167,235.423,
San Francisco,388.73,391.208,387.1,377.037,0,390.971,389.695,401.534,394.833,389.512,388.45,391.84,9.56,393.218,399.442,384.8,405.7631,412.685,393.3661,400.916,396.6641,397.277,31.882,18.99,395.937,386.031,13.408,392.728,396.2821,381.447,13.553,390.882,400.292,393.528,360.854,396.208,388.336,409.316,404.2971,393.3451,411.769,391.2491,389.535,401.888,401.448,408.203,22.303,9.955,380.897,506.793,21.48,387.702,410.769,285.509,401.762,88.222,380.698,395.9651,383.95,12.782,390.446,388.984,402.583,394.363,417.105,393.914,421.291,11.759,10.364,15.135,507.16,47.677,415.497,399.4481,51.759,406.729,411.967,73.389,15.301,398.241,204.568,506.508,15.975,408.421,106.554,430.561,373.294,40.788,20.915,14.672,45.582,514.0641,376.419,504.127,12.295,76.215,400.508,37.82,415.624,406.901,379.537,382.173,371.8,47.915,131.983,100.345,395.45,95.477,246.879,400.9271,24.529,93.871,91.191,411.66,259.989,48.627,429.464,120.681,426.694,44.525,388.9131,24.622,438.889,601.2601,336.548,473.536,403.284,507.8211,46.913,352.822,99.809,396.524,364.913,396.1541,218.365,93.924,269.818,86.866,208.431,82.653,412.5101,73.255,27.178,233.57,18.635,425.8221,121.904,602.5641,84.048,325.44,426.049,74.058,200.856,244.005,37.879,364.063,124.294,429.886,186.256,201.002,263.219,427.001,47.109,194.498,434.433,123.736,238.507,178.533,417.586,16.195,194.33,425.0661,54.113,104.958,464.082,205.489,38.387,37.216,500.8651,296.944,30.872,35.95,54.788,92.042,8.774,15.39,26.329,425.956,492.0991,163.597,
Bell Gardens,4.303,2.745,4.76,18.525,392.042,0,17.702,12.902,6.527,2.878,16.971,20.831,398.6051,4.218,10.81,17.808,17.131,24.053,16.632,18.839,6.624,18.846,365.877,392.7411,7.305,12.522,384.267,21.291,20.928,24.609,387.304,14.036,11.66,15.796,32.012,9.881,12.839,20.684,16.687,3.176,23.137,22.032,16.684,13.256,12.816,14.573,385.13,382.3121,10.779,118.161,387.127,7.387,22.137,113.335,13.13,335.7931,18.893,5.602,12.419,395.755,5.129,71.152,13.951,19.247,28.473,13.568,32.659,380.779,396.464,377.747,118.528,396.5251,26.865,23.144,350.885,18.097,33.889,405.975,393.0421,19.268,214.838,117.876,391.1551,31.444,313.505,41.929,74.807,359.795,371.5981,388.4231,354.872,125.432,18.21,115.495,381.383,350.846,11.876,361.645,26.992,18.269,21.379,15.426,20.346,431.432,287.203,409.7931,6.647,317.302,184.774,12.295,376.414,328.466,321.839,23.028,175.13,350.1,40.832,332.418,38.062,356.023,19.926,374.289,50.257,221.861,93.906,84.904,15.775,119.189,355.415,77.75,296.682,15.419,73.314,24.487,219.206,314.406,144.962,393.393,215.39,347.005,37.06,356.066,376.463,195.81,403.132,54.009,291.006,223.165,362.8781,105.053,37.417,352.822,212.564,180.231,363.809,65.576,433.63,53.927,227.377,221.087,168.165,38.369,410.8241,202.174,45.801,296.313,199.527,243.398,45.773,407.2921,232.078,46.094,437.631,308.188,75.45,207.498,421.9051,398.9271,112.233,113.251,380.156,362.16,438.3061,370.413,407.0671,401.797,371.425,39.51,95.227,249.381,
Lawndale,19.652,17.655,13.435,15.027,390.123,17.399,0,22.277,11.597,18.213,1.56,4.719,396.686,12.554,16.874,4.485,26.744,34.026,31.119,32.146,15.305,32.153,363.958,390.822,18.702,27.27,382.348,5.545,7.82,15.555,385.385,28.784,19.88,3.555,31.247,8.171,27.588,28.949,15.836,16.819,25.887,4.114,31.432,22.713,17.709,25.97,383.211,380.393,16.308,124.701,385.208,25.715,33.52,111.416,24.747,333.8741,10.855,23.141,23.561,393.836,24.848,66.228,23.986,5.901,31.223,28.194,33.769,378.86,394.545,375.828,125.068,394.606,36.836,36.451,348.966,29.474,47.196,404.056,391.123,32.575,212.919,124.416,389.236,44.751,311.586,46.744,72.888,357.876,369.679,386.504,352.953,131.972,24.569,122.035,379.464,348.927,22.574,359.726,29.742,29.652,17.017,25.963,26.705,429.513,285.284,407.874,22.705,315.383,179.851,20.488,374.495,326.547,319.92,34.488,170.207,348.181,48.707,330.499,45.937,354.104,35.425,372.37,54.184,232.273,88.982,91.444,14.823,125.729,353.496,72.826,294.763,8.063,68.39,37.794,217.287,312.487,143.043,391.474,213.471,345.086,50.367,354.147,374.544,193.891,401.213,67.316,289.087,231.694,360.959,100.129,45.292,350.903,210.645,178.312,361.89,63.657,431.711,67.234,225.458,219.168,163.242,46.503,408.905,200.255,50.051,294.394,197.608,241.479,59.08,405.373,230.159,59.526,435.712,306.269,81.99,205.579,419.986,397.008,118.773,111.332,378.237,360.241,436.387,368.494,405.148,399.878,369.506,50.893,101.767,247.462,
Hawaiian Gardens,16.502,15.89,16.6,28.887,402.403,13.496,22.241,0,13.556,16.448,21.956,21.637,408.9661,14.513,5.562,22.793,6.631,19.224,20.834,21.861,8.025,21.868,376.238,403.1021,7.577,22.788,394.628,22.097,19.166,33.996,397.665,21.426,2.201,16.602,42.373,12.396,23.105,14.147,10.87,9.025,11.085,25.023,24.76,3.96,4.077,16.935,395.491,392.6731,21.141,109.899,397.488,21.233,19.162,123.696,10.389,346.1541,29.296,12.856,22.685,406.116,16.379,81.514,2.716,20.053,16.421,17.909,18.967,391.14,406.825,388.108,110.266,406.886,22.034,26.166,361.246,15.116,36.911,416.336,403.403,22.29,225.199,109.614,401.5161,34.466,323.8661,31.942,85.168,370.156,381.959,398.7841,365.233,117.17,28.571,107.233,391.744,361.207,11.464,372.006,14.94,15.294,31.741,25.692,30.708,441.793,297.564,420.154,12.42,327.663,195.136,3.414,386.775,338.827,332.2,19.686,185.492,360.461,33.905,342.779,31.135,366.384,29.395,384.65,39.382,217.915,104.268,76.642,9.608,110.927,365.776,88.112,307.043,14.871,83.676,27.509,229.567,324.767,155.323,403.754,225.751,357.366,40.082,366.427,386.824,206.171,413.493,57.031,301.367,216.892,373.239,115.415,30.49,363.183,222.925,190.592,374.17,75.937,443.991,56.949,237.738,231.448,178.527,31.701,421.1851,212.535,35.249,306.674,209.888,253.759,48.795,417.653,242.439,45.168,447.992,318.549,67.188,217.859,432.2661,409.288,103.971,123.612,390.517,372.521,448.6671,380.774,417.428,412.158,381.786,36.535,86.965,259.742,
Lynwood,7.89,3.873,4.585,21.604,395.12,5.637,11.401,13.06,0,3.728,10.67,16.322,401.683,2.052,8.784,11.507,19.884,27.34,19.619,23.556,5.426,22.655,368.955,395.819,9.204,15.509,387.345,16.589,16.436,22.71,390.382,17.023,11.79,9.498,35.09,3.325,15.826,25.988,12.774,5.302,22.926,15.731,19.671,14.623,9.619,16.472,388.208,385.39,13.858,121.448,390.205,13.954,25.43,116.413,16.657,338.8711,18.01,13.643,15.406,398.833,13.087,73.383,15.896,14.494,28.262,16.555,30.808,383.857,399.542,380.825,121.815,399.603,30.152,28.37,353.963,21.384,39.115,409.053,396.12,24.494,217.916,121.163,394.233,36.67,316.583,43.783,77.885,362.873,374.676,391.501,357.95,128.719,21.288,118.782,384.461,353.924,13.076,364.723,26.781,21.562,24.172,18.413,23.425,434.51,290.281,412.871,13.207,320.38,187.006,12.398,379.492,331.544,324.917,26.315,177.362,353.178,44.119,335.496,41.349,359.101,22.913,377.367,53.544,224.183,96.137,88.191,11.862,122.476,358.493,79.981,299.76,11.506,75.545,28.296,222.284,317.484,148.04,396.471,218.468,350.083,42.286,359.144,379.541,198.888,406.21,57.818,294.084,225.487,365.9561,107.284,40.704,355.9,215.642,183.309,366.887,68.654,436.708,59.153,230.455,224.165,170.397,41.656,413.902,205.252,49.088,299.391,202.605,246.476,49.582,410.37,235.156,50.811,440.709,311.2661,78.737,210.576,424.983,402.005,115.52,116.329,383.234,365.238,441.384,373.491,410.145,404.875,374.503,42.803,98.514,252.459,
Bell,1.537,2.084,1.839,16.969,390.485,2.866,14.815,15.053,3.728,0,14.084,21.016,397.048,2.456,11.139,10.307,19.282,26.204,14.984,18.921,8.544,18.958,364.32,391.184,9.456,10.874,382.71,21.476,21.113,23.053,385.747,12.388,13.811,15.981,30.455,10.066,11.191,22.835,16.872,5.587,25.288,19.145,15.036,15.407,13.717,16.724,383.573,380.755,9.223,120.312,385.57,9.319,24.288,111.778,15.281,334.2361,17.337,7.752,10.771,394.198,8.452,69.596,16.102,19.432,30.624,11.92,34.81,379.222,394.907,376.19,120.679,394.968,29.016,23.735,349.328,20.248,34.48,404.418,391.485,19.859,213.281,120.027,389.598,32.035,311.948,44.08,73.25,358.238,370.041,386.866,353.315,127.583,16.653,117.646,379.826,349.289,14.027,360.088,29.143,20.42,19.823,13.778,18.79,429.875,285.646,408.236,8.797,315.745,183.218,14.446,374.857,326.909,320.282,25.179,173.574,348.543,42.983,330.861,40.213,354.466,18.278,372.732,52.408,220.07,92.35,87.055,15.96,121.34,353.858,76.194,295.125,15.604,71.758,24.599,217.649,312.849,143.405,391.836,213.833,345.448,37.651,354.509,374.906,194.253,401.575,51.98,289.449,221.374,361.321,103.497,39.568,351.265,211.007,178.674,362.252,64.019,432.073,54.518,225.82,219.53,166.609,40.52,409.267,200.617,47.952,294.756,197.97,241.841,43.293,405.735,230.521,46.176,436.074,306.631,77.601,205.941,420.348,397.37,114.384,111.694,378.599,360.603,436.749,368.856,405.51,400.24,369.868,41.661,97.378,247.824,
